gen_no,mean,min,max
00,0.58164,0.36733,0.62922
01,0.5512655555555557,0.26922,0.63089
02,0.54436,0.27856,0.64433
03,0.5710999999999999,0.29356,0.63022
04,0.5419444444444443,0.25767,0.63567
05,0.551321111111111,0.24333,0.645
06,0.576172,0.29467,0.645
07,0.5936836842105264,0.51333,0.64022
08,0.5910866666666666,0.47289,0.645
09,0.5852355555555556,0.48667,0.622
10,0.5927431578947369,0.47289,0.645
11,0.5903786666666666,0.546,0.65067
12,0.572484705882353,0.46611,0.666
13,0.594367894736842,0.49822,0.65278
14,0.5815915789473686,0.49822,0.666
15,0.5964552631578947,0.55233,0.64533
16,0.5949675,0.57,0.666
17,0.5971786666666666,0.56589,0.64789
18,0.6122815789473683,0.55833,0.666
